dateTime,stationReference,latitude,longitude,parameter,qualifier,unitName,value
2022-11-24T18:30:00Z,021033,55.546346,-2.010726,level,Stage,m,0.196
2022-11-24T21:15:00Z,E21724,52.093158,0.292511,level,Stage,m,0.144
2022-11-24T21:30:00Z,3223TH,51.110238,-0.153871,level,Stage,mASD,1.189
2022-11-24T21:15:00Z,F3480,53.77313,-0.651055,level,Stage,m,0.228
2022-11-24T21:30:00Z,2809TH,51.706896,-0.217824,level,Stage,mASD,0.447
2022-11-24T21:30:00Z,E19031,52.175048,0.01962,level,Stage,mASD,0.923
2022-11-24T21:30:00Z,2024,52.555203,-2.376056,level,Stage,mASD,0.526
2022-11-24T21:30:00Z,2618,51.887415,-2.252167,level,Stage,mASD,3.703
2022-11-24T21:15:00Z,E23726,52.031808,-1.132641,level,Stage,mASD,0.724
2022-11-24T06:00:00Z,E2223,52.244802,-0.905866,level,Stage,mASD,0.482
2022-11-24T21:30:00Z,690207,53.62694,-2.13755,level,Stage,m,0.487
2022-11-24T21:30:00Z,47116,50.635525,-4.279753,level,Stage,m,1.279
2022-11-24T21:30:00Z,531112,51.438369,-2.003555,level,Stage,m,0.324
2022-11-24T21:30:00Z,L1304,53.677173,-1.491306,level,Stage,m,0.221
2022-11-24T21:30:00Z,L1800,53.71643,-0.908963,level,Stage,mAOD,3.157
2022-11-24T16:00:00Z,50135,51.055152,-3.795036,level,Stage,m,0.589
2022-11-09T08:15:00Z,E24302,52.318507,-0.176335,level,Stage,mASD,0.344
2022-11-24T21:30:00Z,2250TH,51.401605,-1.323874,flow,,m3/s,4.011
2022-11-24T21:30:00Z,2250TH,51.401605,-1.323874,level,Stage,mASD,1.027
2022-11-24T20:45:00Z,1408TH,52.167771,-1.212815,level,Stage,mASD,1.293
2022-11-24T21:30:00Z,L1527,53.897872,-2.008295,level,Stage,m,0.451
2022-11-24T21:30:00Z,53135,51.581999,-2.158019,level,Stage,m,0.535
2022-11-24T21:15:00Z,E22152,52.432388,0.877025,level,Stage,m,0.201
2022-11-24T17:15:00Z,44204,50.776561,-2.574345,level,Stage,m,0.545
2022-11-24T15:00:00Z,692348,53.357485,-1.996738,level,Stage,m,0.985
2022-11-24T21:30:00Z,4091TH,51.47009,-0.245065,level,Stage,mASD,1.412
2022-11-24T21:30:00Z,2004TH,51.486605,-1.088869,level,Downstream Stage,mASD,2.198
2022-11-24T21:30:00Z,2004TH,51.486605,-1.088869,level,Stage,mASD,0.108
