stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
1465TH,Thrupp,51.840425,-1.30005,3.346,0.578,2.12,0.654
1471TH,Grendon Underwood,51.884491,-1.012852,1.8599999999999999,-0.211,0.9390000000000001,0.008
1483TH,Lower Arncott,51.861059,-1.119228,2.984,0.222,2,0.297
1484TH,Langford Village,51.895439,-1.13585,1.8519999999999999,0.037,1.309,0.10300000000000001
1486TH,Wendlebury,51.874246,-1.18499,1.955,0.921,1.5899999999999999,0.925
1489TH,Islip,51.819783,-1.242178,9.327,6.127,7.8,6.492
1490TH,Oxford Botanical Gardens,51.750579,-1.24661,6.18,4.67,6.19,4.8
1491TH,Kings Mill,51.756247,-1.238765,2.7800000000000002,1.231,2.4,1.631
1501TH,Iffley Lock,51.72955,-1.239792,0.937,-0.62,0.25,0.003
1502TH,Sandford-on-Thames,51.708312,-1.232825,,,,
1503TH,Abingdon Lock,51.670388,-1.268257,0.581,-0.26,0.2,-0.25
151816001,Romsey Broadlands Estate,50.968109,-1.497147,,,,
1552,Rainfall station,52.541438,-2.193841,,,,
1602,Rainfall station,52.05292,-2.737138,,,,
1603,Rainfall station,52.224678,-2.731196,,,,
1606,Rainfall station,51.952233,-2.735485,,,,
1635TH,Minns Estate,51.753242,-1.290099,3.117,0.797,2.13,1.006
1645TH,New Botley,51.752648,-1.281126,3.141,0.736,2.01,0.87
1674TH,Hinksey Lake (Temporary),51.740477,-1.259957,1.198,0.18,1.3940000000000001,0.23
1675TH,Cold Harbour,51.730973,-1.251352,,,,
1679TH,Abingdon,51.684602,-1.282696,1.33,-0.26,1.43,0.05
1681TH,Abingdon Peachcroft,51.683092,-1.268125,1.3559999999999999,0.45,1.5,0.45
1687,Rainfall station,52.016552,-2.653481,,,,
1712,Rainfall station,52.639137,-2.325793,,,,
1713,Rainfall station,52.84224,-2.872181,,,,
1740,Rainfall station,52.392235,-1.324715,,,,
1745TH,Stanford Vale,51.632965,-1.505814,1.982,0,0.62,0.069
1747,Rainfall station,52.806646,-2.49764,,,,
1748,Rainfall station,52.481743,-2.579368,,,,
1756TH,Wantage,51.588848,-1.431205,0.86,0.34900000000000003,0.8,0.371
1757TH,Charney Bassett,51.64711,-1.451462,2.718,0.225,1.8,0.485
1760,Rainfall station,52.140634,-1.974376,,,,
1761,Rainfall station,52.051393,-1.762976,,,,
1761TH,Letcombe Bassett,51.565511,-1.460667,0.229,0.016,0.198,0.058
1769,Rainfall station,52.199933,-2.097246,,,,
1770,Rainfall station,52.288216,-1.222206,,,,
1771,Rainfall station,52.911156,-2.637129,,,,
1771TH,Letcombe Regis,51.571482,-1.449342,0.188,-0.127,0.71,0.02
1773,Rainfall station,52.222319,-2.17488,,,,
1774,Rainfall station,52.338976,-2.542273,,,,
1790TH,Abingdon,51.666656,-1.305189,1.81,0.005,0.9,0
1792,Rainfall station,52.307409,-2.728158,,,,
1793,Rainfall station,52.518531,-2.881966,,,,
1794,Rainfall station,51.87509,-2.275208,,,,
1796TH,Steventon,51.621195,-1.323534,1.463,0.46900000000000003,1.023,0.523
1799TH,Culham Lock,51.6506,-1.267131,1.9769999999999999,-0.452,0.298,0.038
1801TH,Clifton Lock,51.648617,-1.210808,1.9340000000000002,-0.488,0.849,0
1812,Rainfall station,51.89986,-2.41343,,,,
1813,Rainfall station,51.749956,-2.336734,,,,
1814,Rainfall station,52.481443,-1.558947,,,,
1817,Rainfall station,52.708345,-2.980518,,,,
1819,Rainfall station,52.178577,-2.411624,,,,
1822SO,Rainfall station,50.811276,0.219288,,,,
1899TH,Days Lock,51.638206,-1.179444,1.322,-0.399,0.272,-0.38
1904TH,Rowsham Bridge,51.850671,-0.772585,2.03,0,1.51,0.07
1911TH,Aylesbury Thame,51.826251,-0.856541,2.512,0.20600000000000002,1.9,0.406
1919TH,Bearbrook FD,51.819387,-0.786131,,,,
1922TH,Weston Turville,51.78506,-0.75797,0.8280000000000001,0.276,0.55,0.28600000000000003
1923TH,Stocklake FD,51.824471,-0.789114,,,,
1925TH,Aylesbury,51.817792,-0.801624,2,0.612,1.49,0.968
1930,Rainfall station,52.080849,-2.563945,,,,
1930TH,Cuddington,51.795602,-0.944321,2.59,0.511,2.09,0.978
1961TH,Thame Bridge,51.753138,-0.982253,2.99,0.9480000000000001,2.25,1.057
1980TH,Wheatley,51.740637,-1.115198,6.11,2.997,5.752,3.597
1984TH,Chalgrove,51.663282,-1.075268,1.9340000000000002,1,1.75,0.9
1990TH,Stadhampton,51.675126,-1.132094,2.626,0.31,2,0.5670000000000001
